"","measure","Year","Waterway 1","Waterway 2","Waterway 3","Waterway 4"
"347","Endosulfan (beta)","2007",0.036242774566474,0.0192916666666667,0,0
"348","Endrin","2005",0.134541899441341,0.131375,0,0
"349","Endrin","2006",0.0882739726027397,0.0880294117647059,0,0
"350","Endrin","2007",0.0141453488372093,0.0111666666666667,0,0
"351","Endrin","2008",0.025,0,0,0
"352","Endrin","2009",0.0134615384615385,0.073,0.0365,0
"353","Fecal coliforms","1998",0.00227098039215686,0.00951111111111111,0,0
"354","Fecal coliforms","1999",1.10189850746269,0.51464347826087,0,0
"355","Fecal coliforms","2000",1.84915841584158,0.454138888888889,0,0
"356","Fecal coliforms","2001",0.468941176470588,0.115371428571429,0,0
"357","Fecal coliforms","2002",0.18528,0.14,0,0
"358","Fecal coliforms","2003",14.1843367346939,0.4986875,0,0
"359","Fecal coliforms","2004",0.859284210526316,0.04,0,0
"360","Fecal coliforms","2005",0.358819444444444,0.8525,0,0
"361","Fecal coliforms","2006",0.549566153846154,0,0,0
"362","Fecal coliforms","2007",1.19240163934426,1.85586363636364,0,0
"363","Fecal coliforms","2008",12.4456923076923,10.5815,0,0
"364","Fecal coliforms","2009",14.6508016528926,14.454431372549,0,0
"365","Fecal coliforms","2010",32.9408695652174,0.136,0,0
"366","Fecal coliforms","2011",46.5871627906977,0,0,0
"367","Fecal coliforms","2012",1.3911,0,0,0
"368","Fecal coliforms","2013",0.896355555555556,0,0,0
"369","Fecal streptococci","1999",0.13539,0.87125,0,0
"370","Fecal streptococci","2000",0.0236578947368421,0.163620689655172,0,0
"371","Fecal streptococci","2001",0.0158225806451613,0.00815384615384615,0,0
"372","Fecal streptococci","2002",0.00776190476190476,0.001,0,0
"373","Fecal streptococci","2003",0.747081081081081,1.3294,0,0
"374","Fecal streptococci","2004",0.100910256410256,0.033,0,0
"375","Fecal streptococci","2005",0.0900141025641026,0.022165,0,0
"376","Fecal streptococci","2006",0.0259030769230769,0,0,0
"377","Fecal streptococci","2007",0.293009836065574,0.991118181818182,0,0
"378","Fecal streptococci","2008",0.330418181818182,0.591776086956522,0,0
"379","Fecal streptococci","2009",2.67394462809917,0.502072549019608,0,0
"380","Fecal streptococci","2010",4.48536956521739,0.139333333333333,0,0
"381","Fecal streptococci","2011",15.013275,0,0,0
"382","Fecal streptococci","2012",0.2858,0,0,0
"383","Fecal streptococci","2013",0.4238,0,0,0
"384","Fluoranthene","2003",0.001,0.001,0,0
"385","Fluoranthene","2008",0.00483764705882353,0,0,0
"386","Fluoranthene","2009",0.00458823529411765,0.005,0.0045,0
"387","Fluorene","2009",0.005,0,0,0
"388","gamma-Hexachlorocyclohexane","1998",0.00244444444444444,0.002,0,0
"389","gamma-Hexachlorocyclohexane","1999",0.0407785714285714,0.0606375,0,0
"390","gamma-Hexachlorocyclohexane","2000",0.0424615384615385,0.03875,0,0
"391","gamma-Hexachlorocyclohexane","2001",0.125746835443038,0.135454545454545,0,0
"392","gamma-Hexachlorocyclohexane","2002",0.020531914893617,0.0157142857142857,0,0
"393","gamma-Hexachlorocyclohexane","2003",0.0158484848484848,0.00676923076923077,0,0
"394","gamma-Hexachlorocyclohexane","2004",0.0391709401709402,0.0377428571428571,0,0
"395","gamma-Hexachlorocyclohexane","2005",0.0858548387096774,0.122466666666667,0,0
"396","gamma-Hexachlorocyclohexane","2006",0.0369177215189873,0.035452380952381,0,0
"397","gamma-Hexachlorocyclohexane","2007",0.00945664739884393,0.00746808510638298,0,0
"398","gamma-Hexachlorocyclohexane","2008",0.0402105263157895,0.0405555555555556,0,0
"399","gamma-Hexachlorocyclohexane","2009",0.00956481481481481,0.0145714285714286,0.02,0
"400","gamma-Hexachlorocyclohexane","2010",0.0366902654867257,0.05,0,0
"401","gamma-Hexachlorocyclohexane","2012",0,0,0,0
"402","gamma-Hexachlorocyclohexane","2013",0,0,0,0
"403","gamma-Hexachlorocyclohexane","2014",0,0,0,0
