"","X","ID","X1.2.3.Trichlorobenzene","X1.2.4.Trichlorobenzene","Acenaphthene","Acenaphthylene","AGOC.3A","Alachlor","Aldrin","alpha.Hexachlorocyclohexane","Aluminium","Ammonium","Anionic.active.surfactants","Anthracene","AOX","Arsenic","Atrazine","Barium","Benzo.a.anthracene","Benzo.a.pyrene","Benzo.b.fluoranthene","Benzo.g.h.i.perylene","Benzo.k.fluoranthene","Berilium","beta.Hexaxchlorocyclohexane","Bicarbonates","Biochemical.Oxygen","Boron","Cadmium","Calcium","Carbonates","Cesium","Chemical.Oxygen.Demand..Cr.","Chemical.Oxygen.Demand..Mn.","Chlorides","Chlorodinine","Chromium","Chrysene","Copper","Cyanides","Dieldrin","Dissolved.organic.carbon","Dissolved.oxygen","Dissolved.silicates","Endosulfan..alpha.","Endosulfan..beta.","Endrin","Fecal.coliforms","Fecal.streptococci.","Fluoranthene","Fluorene","gamma.Hexachlorocyclohexane","Heptachlor","Heptachloroepoxide","Hexachlorobenzene","Indeno.1.2.3.c.d.pyrene","Inorganic.nitrogen","Iron","Isodrin","Lead","Macrozoobenthos","Magnesium","Manganese","Mercury","Methoxychlor","Methylosmoline","Metolachlor","Naphthalene","Nickel","Nitrates","Nitrites","Organic.nitrogen","Orthophosphate.phosphorus","Oxygen.saturation","p.p.DDD","p.p.DDE","p.p.DDT","PAHs","PCB.101","PCB.118","PCB.138","PCB.153","PCB.180","PCB.28","PCB.52","Pentachlorobenzene","Petroleum.hydrocarbons","Phenanthrene","Potassium","Pyrene","Selenium","Silica..SiO2.","Simazine","Sodium","Sulfides","Sulphates","Tetrachloromethane","Total.coliforms","Total.dissolved.phosphorus","Total.dissolved.salts","Total.extractable.matter","Total.hardness","Total.nitrogen","Total.organic.carbon","Total.phosphorus","Trifluralin","Water.temperature","Zinc"
"26",26,"Achara 13-Feb-09",0,0,0,0,0,0,0,0,0,-0.844202898550725,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.318181818181818,0.304347826086957,0,0,-0.453586497890295,0,0,0.857142857142857,0.133333333333333,-0.512605042016807,0,0.2,0,2.5,0,0,0,0.0733944954128439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,2.4,0,-0.323943661971831,-0.444444444444444,0,0,0,0,0,1.6,-0.485112563543936,9,3108.72347266881,-0.895027624309392,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34,0,0,0,0,0,0,-0.522935779816514,0,-0.401929260450161,0,-0.989123679303915,0,-0.422330097087379,0,0,-0.472361809045226,0,-0.615384615384615,0,-0.153846153846154,-0.307692307692308
"27",27,"Achara 13-Mar-10",0,0,0,0,0,0,0,0,0,7.51612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08509847640282,0,0,0,0,0,0,0,0,0,0,0,0,1.55248091603053,0,0,0,0,0,0,0,0,0,0,0,0,1.10672853828306,6.75,0,0.777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,1.53846153846154,0,0,0
"28",28,"Achara 13-Mar-15",0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.290322580645161,0,0,-0.0737913486005089,0,0,2.6,0,-0.216981132075472,0,0,0,0,0,0,0,-0.165413533834587,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,-0.24390243902439,1.4,0,-0.0769230769230769,-0.0505050505050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0331877729257642,-0.20979020979021,0.0292887029288702,-0.333333333333333,0,1.66666666666667,0
"29",29,"Achara 13-May-11",0,0,0,0,0,0,0,0,0,2.85714285714286,0,0,0,-0.9999,0,0,0,0,0,0,0,0,0,0,1.21052631578947,0,-0.9998,-0.174117647058823,0,0,0,0.0833333333333334,0,0,0,0,-0.328767123287671,0,0,0,-0.212765957446809,0.264957264957265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.352941176470588,0,-0.408163265306123,0,-0.9999,0,0,0,0,0.315789473684211,-0.521739130434783,0.5625,0,1.109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.465753424657534,0,1.50909090909091,0,0.133333333333333,0.75
"30",30,"Achara 13-May-16",0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.357142857142857,0,0,-0.142857142857143,0,0,1.4,0.592920353982301,-0.0107526881720432,0,0,0,0,0,0,0,-0.121212121212121,-0.173913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346938775510204,0,0,0,0,0,0,0,0.275862068965517,0.357142857142857,0,-0.558823529411765,-0.0212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620689655172414,0,-0.0425101214574899,0.464912280701754,0,-0.408333333333333,0,0.384615384615385,0
"31",31,"Achara 13-Nov-10",0,0,0,0,0,0,0,0,0,-0.635135135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0562422744128555,0,0,0,0,0,0,0,0,0,0,0,0,-0.0031249999999999,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764705882352941,0,0,0
"32",32,"Achara 13-Oct-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188894588355989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",33,"Achara 13-Oct-11",0,0,0,0,0,0,0,0,0,0.243589743589744,0,0,0,-0.181818181818182,0,0,0,0,0,0,0,0,0,0,-0.711864406779661,0,0,-0.115264797507788,0,0,-0.0909090909090909,0.172413793103448,0,0,0,0,-0.488372093023256,0,0,0,0.123456790123457,5.45569620253164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0,-0.076923076923077,0,0,0,0,0,0,12999,1.21739130434783,0.076923076923077,0,2.14814814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14699,0,1.38709677419355,0,-0.277777777777778,2
"34",34,"Achara 14-Jul-11",0,0,0,0,0,0,0,0,0,-0.996428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.625,0,0,0,0,0,-0.272727272727273,-0.1875,-0.51006711409396,0,0,0,0,0,0,0,0.240506329113924,-0.999983305509182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33333333333333,-0.523809523809524,0,-0.553846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.3125,0,0,-0.5
"35",35,"Achara 14-Jun-13",0,0,0,0,0,0,0,0,0,0.622222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.565217391304348,0,0,0.11614730878187,0,0,-0.999992857142857,-0.4375,0.244444444444444,0,0,0,-0.125,0,0,0,0.0243902439024392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0588235294117646,0,0.333333333333333,0,0,0,0,0,0.416666666666667,1.68421052631579,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149532710280374,0,0.866666666666667,0,0.75,0
"36",36,"Achara 14-Mar-13",0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090908,0,0,0.415204678362573,0,0,0,0.0666666666666667,0.34375,0,0,0,-0.3125,0,0,0,0.00751879699248118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0615384615384616,0,0,0,0,0,0,-0.999941176470588,0.0700000000000001,0.538461538461539,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330508474576271,0,-0.119047619047619,0,1.66666666666667,0
"37",37,"Achara 14-Oct-10",0,0,0,0,0,0,0,0,0,-0.788990825688073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0501564016826666,0,0,0,0,0,0,0,0,0,0,0,0,0.531951640759931,0,0,0,0,0,0,0,0,0,0,0,0,0.621085594989562,-0.642857142857143,6.06666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16412213740458,0,-0.158536585365854,0,0,0
