"","location","Year","mean_v","min_v","max_v","range"
"42","Busarakhan","2012",26.6319427350427,0,695,"0 , 26.6319427350427 , 695"
"43","Busarakhan","2013",27.7900720954907,0,660,"0 , 27.7900720954907 , 660"
"44","Busarakhan","2014",26.6400971274298,0,597,"0 , 26.6400971274298 , 597"
"45","Busarakhan","2015",29.1369981395349,0,703,"0 , 29.1369981395349 , 703"
"46","Busarakhan","2016",31.5412856531049,0,1019,"0 , 31.5412856531049 , 1019"
"47","Chai","1998",10.0047521452991,0,413,"0 , 10.0047521452991 , 413"
"48","Chai","1999",15.3728213799806,0,1910,"0 , 15.3728213799806 , 1910"
"49","Chai","2000",20.3715882352941,0.002,1212,"0.002 , 20.3715882352941 , 1212"
"50","Chai","2001",16.1013640350877,0,196,"0 , 16.1013640350877 , 196"
"51","Chai","2002",16.9762686366689,0,213,"0 , 16.9762686366689 , 213"
"52","Chai","2003",40.3157742755766,0,20688.6,"0 , 40.3157742755766 , 20688.6"
"53","Chai","2004",13.0102071383047,0,354,"0 , 13.0102071383047 , 354"
"54","Chai","2005",17.6767728441755,0,370,"0 , 17.6767728441755 , 370"
"55","Chai","2006",19.9587263868066,0.005,391,"0.005 , 19.9587263868066 , 391"
"56","Chai","2007",16.0899911658456,0,347,"0 , 16.0899911658456 , 347"
"57","Chai","2008",25.9578110436223,0,376,"0 , 25.9578110436223 , 376"
"58","Chai","2009",21.4626543181818,0,790,"0 , 21.4626543181818 , 790"
"59","Chai","2010",22.0136607683353,0,332,"0 , 22.0136607683353 , 332"
"60","Chai","2011",31.4506303155007,0,328,"0 , 31.4506303155007 , 328"
"61","Chai","2012",20.9158303587052,0,325,"0 , 20.9158303587052 , 325"
"62","Chai","2013",18.3250356244761,0,387,"0 , 18.3250356244761 , 387"
"63","Chai","2014",13.8343924498567,0,352,"0 , 13.8343924498567 , 352"
"64","Chai","2015",17.0427064786585,0,318,"0 , 17.0427064786585 , 318"
"65","Chai","2016",16.2780823288473,0,336,"0 , 16.2780823288473 , 336"
"66","Decha","2009",64.008965248227,0,4600,"0 , 64.008965248227 , 4600"
"67","Decha","2010",37.2728268551237,0.003,796,"0.003 , 37.2728268551237 , 796"
"68","Decha","2011",44.6823342657343,0,735,"0 , 44.6823342657343 , 735"
"69","Decha","2012",22.1752737891738,0,600,"0 , 22.1752737891738 , 600"
"70","Decha","2013",31.6332039800995,0,988,"0 , 31.6332039800995 , 988"
"71","Decha","2014",22.66633625,0,724,"0 , 22.66633625 , 724"
"72","Decha","2015",27.1210263013699,0,525,"0 , 27.1210263013699 , 525"
"73","Decha","2016",26.8351132596685,0,492,"0 , 26.8351132596685 , 492"
"74","Kannika","1998",9.88238739690722,0,475.3,"0 , 9.88238739690722 , 475.3"
"75","Kannika","1999",15.2534148554337,0,629,"0 , 15.2534148554337 , 629"
"76","Kannika","2000",17.8116040329972,0.002,290,"0.002 , 17.8116040329972 , 290"
"77","Kannika","2001",17.3623336745138,0.002,257,"0.002 , 17.3623336745138 , 257"
"78","Kannika","2002",17.9926589561091,0,186.6,"0 , 17.9926589561091 , 186.6"
"79","Kannika","2003",93.3422525139665,0,34413.96,"0 , 93.3422525139665 , 34413.96"
"80","Kannika","2004",17.3199444444444,0,815,"0 , 17.3199444444444 , 815"
"81","Kannika","2005",22.2468140979866,0,714,"0 , 22.2468140979866 , 714"
"82","Kannika","2006",22.0819953175112,0,468,"0 , 22.0819953175112 , 468"
"83","Kannika","2007",18.5084153028693,0,321,"0 , 18.5084153028693 , 321"
"84","Kannika","2008",24.4061384319754,0,370,"0 , 24.4061384319754 , 370"
"85","Kannika","2009",18.5976216133005,0,410,"0 , 18.5976216133005 , 410"
"86","Kannika","2010",17.3215413366337,0.004,319,"0.004 , 17.3215413366337 , 319"
"87","Kannika","2011",23.6762571895425,0,306,"0 , 23.6762571895425 , 306"
"88","Kannika","2012",24.7909326639893,0,361,"0 , 24.7909326639893 , 361"
"89","Kannika","2013",24.6135753052917,0,396,"0 , 24.6135753052917 , 396"
"90","Kannika","2014",25.7780548977778,0,371.8,"0 , 25.7780548977778 , 371.8"
"91","Kannika","2015",24.9180667458432,0,274.8,"0 , 24.9180667458432 , 274.8"
"92","Kannika","2016",25.2881476898982,0,287.3,"0 , 25.2881476898982 , 287.3"
"93","Kohsoom","1998",20.1797551020408,0,356,"0 , 20.1797551020408 , 356"
"94","Kohsoom","1999",27.1231562874252,0,465,"0 , 27.1231562874252 , 465"
"95","Kohsoom","2000",27.3984920212766,0.002,575,"0.002 , 27.3984920212766 , 575"
"96","Kohsoom","2001",23.9555731343284,0.002,323,"0.002 , 23.9555731343284 , 323"
"97","Kohsoom","2002",28.6655813953488,0,317,"0 , 28.6655813953488 , 317"
"98","Kohsoom","2003",145.632614730878,0,37959.28,"0 , 145.632614730878 , 37959.28"
"99","Kohsoom","2004",25.4349684813754,0,286.7,"0 , 25.4349684813754 , 286.7"
"100","Kohsoom","2005",35.5660097246654,0,492.799988,"0 , 35.5660097246654 , 492.799988"
"101","Kohsoom","2006",26.4701537001898,0,423,"0 , 26.4701537001898 , 423"
"102","Kohsoom","2007",26.8122666666667,0.005,471,"0.005 , 26.8122666666667 , 471"
"103","Kohsoom","2008",24.0455848968105,0.001,457,"0.001 , 24.0455848968105 , 457"
"104","Kohsoom","2009",46.0711498194946,0,3300,"0 , 46.0711498194946 , 3300"
"105","Kohsoom","2010",69.5318036796537,0.003,13000,"0.003 , 69.5318036796537 , 13000"
"106","Kohsoom","2011",54.7094621176471,0,2400,"0 , 54.7094621176471 , 2400"
"107","Kohsoom","2012",37.8912668280872,0,1700,"0 , 37.8912668280872 , 1700"
"108","Kohsoom","2013",34.2296428571429,0,2400,"0 , 34.2296428571429 , 2400"
"109","Kohsoom","2014",37.1602476415094,0,430,"0 , 37.1602476415094 , 430"
"110","Kohsoom","2015",39.8798180592992,0,456,"0 , 39.8798180592992 , 456"
"111","Kohsoom","2016",35.6180605263158,0,331,"0 , 35.6180605263158 , 331"
"112","Sakda","1998",10.9334992366412,0,275.1,"0 , 10.9334992366412 , 275.1"
"113","Sakda","1999",15.9350561959654,0,905,"0 , 15.9350561959654 , 905"
"114","Sakda","2000",18.1079798350137,0.002,316,"0.002 , 18.1079798350137 , 316"
"115","Sakda","2001",16.4773762677485,0.002,183,"0.002 , 16.4773762677485 , 183"
"116","Sakda","2002",18.0836929510155,0,277,"0 , 18.0836929510155 , 277"
"117","Sakda","2003",50.7591816091954,0,28901.59,"0 , 50.7591816091954 , 28901.59"
"118","Sakda","2004",17.8854813953488,0,1054,"0 , 17.8854813953488 , 1054"
"119","Sakda","2005",26.2042174658635,0,880,"0 , 26.2042174658635 , 880"
"120","Sakda","2006",22.4678755235602,0,345,"0 , 22.4678755235602 , 345"
"121","Sakda","2007",18.7276071466525,0,374,"0 , 18.7276071466525 , 374"
"122","Sakda","2008",24.4053452380952,0,365,"0 , 24.4053452380952 , 365"
"123","Sakda","2009",20.3745356429463,0,618,"0 , 20.3745356429463 , 618"
"124","Sakda","2010",17.5356337458746,0.004,324,"0.004 , 17.5356337458746 , 324"
"125","Sakda","2011",24.3567538860104,0,390,"0 , 24.3567538860104 , 390"
"126","Sakda","2012",25.3460483739837,0,366,"0 , 25.3460483739837 , 366"
"127","Sakda","2013",31.4559192886457,0,1307,"0 , 31.4559192886457 , 1307"
"128","Sakda","2014",31.1458237759711,0,668.2,"0 , 31.1458237759711 , 668.2"
"129","Sakda","2015",25.6703845909452,0,427.4,"0 , 25.6703845909452 , 427.4"
"130","Sakda","2016",26.0816845709571,0,281.4,"0 , 26.0816845709571 , 281.4"
"131","Somchair","1998",18.6646597938144,0,285,"0 , 18.6646597938144 , 285"
"132","Somchair","1999",23.4305510204082,0,630,"0 , 23.4305510204082 , 630"
"133","Somchair","2000",28.4127459459459,0.002,920,"0.002 , 28.4127459459459 , 920"
"134","Somchair","2001",20.7177747440273,0.002,192,"0.002 , 20.7177747440273 , 192"
"135","Somchair","2002",23.6000615384615,0,206,"0 , 23.6000615384615 , 206"
"136","Somchair","2003",102.805875796178,0,24790.53,"0 , 102.805875796178 , 24790.53"
"137","Somchair","2004",20.2344166666667,0,575,"0 , 20.2344166666667 , 575"
"138","Somchair","2005",29.5135164437984,0,808,"0 , 29.5135164437984 , 808"
"139","Somchair","2006",28.2587859047619,0,600,"0 , 28.2587859047619 , 600"
"140","Somchair","2007",24.5173885350318,0,553,"0 , 24.5173885350318 , 553"
"141","Somchair","2008",32.151468697479,0,469,"0 , 32.151468697479 , 469"
"142","Somchair","2009",27.2169236363636,0,1300,"0 , 27.2169236363636 , 1300"
"143","Somchair","2010",23.9012283887468,0.004,477,"0.004 , 23.9012283887468 , 477"
"144","Somchair","2011",34.3529938461538,0,504,"0 , 34.3529938461538 , 504"
"145","Somchair","2012",27.0200307462687,0,648,"0 , 27.0200307462687 , 648"
"146","Somchair","2013",25.6328927034121,0,530,"0 , 25.6328927034121 , 530"
"147","Somchair","2014",25.481147760181,0,929,"0 , 25.481147760181 , 929"
"148","Somchair","2015",28.4683568181818,0,708,"0 , 28.4683568181818 , 708"
"149","Somchair","2016",33.6470717573222,0,689,"0 , 33.6470717573222 , 689"
"150","Tansanee","2009",73.8190475409836,0,1053,"0 , 73.8190475409836 , 1053"
"151","Tansanee","2010",45.9732522255193,0.01,935.2,"0.01 , 45.9732522255193 , 935.2"
"152","Tansanee","2011",54.4398109243697,0,758.1,"0 , 54.4398109243697 , 758.1"
"153","Tansanee","2012",56.8643433476395,0,862.5,"0 , 56.8643433476395 , 862.5"
"154","Tansanee","2013",53.3135364351852,0,968,"0 , 53.3135364351852 , 968"
"155","Tansanee","2014",80.6908479452055,0,1007,"0 , 80.6908479452055 , 1007"
"156","Tansanee","2015",67.6566994011976,0,993,"0 , 67.6566994011976 , 993"
"157","Tansanee","2016",78.1554703571429,0,835,"0 , 78.1554703571429 , 835"
