"","location","Year","measure","mean_v","min_v","max_v","range"
"63","Achara","2011","Cadmium",0.166666666666667,0,0.5,"0 , 0.166666666666667 , 0.5"
"64","Achara","2011","Calcium",35.2076923076923,28.4,44.4,"28.4 , 35.2076923076923 , 44.4"
"65","Achara","2011","Chemical Oxygen Demand (Cr)",5.83333333333333,0,13,"0 , 5.83333333333333 , 13"
"66","Achara","2011","Chemical Oxygen Demand (Mn)",2.52083333333333,1.4,4.3,"1.4 , 2.52083333333333 , 4.3"
"67","Achara","2011","Chlorides",10.575,7.3,17,"7.3 , 10.575 , 17"
"68","Achara","2011","Chromium",0.0733333333333333,0,1.1,"0 , 0.0733333333333333 , 1.1"
"69","Achara","2011","Copper",3.28333333333333,1.2,9.2,"1.2 , 3.28333333333333 , 9.2"
"70","Achara","2011","Dissolved oxygen",9.96583333333333,6.6,14.4,"6.6 , 9.96583333333333 , 14.4"
"71","Achara","2011","Dissolved silicates",5.82555555555556,0,10.2,"0 , 5.82555555555556 , 10.2"
"72","Achara","2011","Lead",1.00555555555556,0.3,2.5,"0.3 , 1.00555555555556 , 2.5"
"73","Achara","2011","Magnesium",7.12307692307692,3.5,20.4,"3.5 , 7.12307692307692 , 20.4"
"74","Achara","2011","Mercury",0.357142857142857,0,1,"0 , 0.357142857142857 , 1"
"75","Achara","2011","Nickel",2.94666666666667,0,16.9,"0 , 2.94666666666667 , 16.9"
"76","Achara","2011","Nitrates",1.14958333333333,0.21,2.07,"0.21 , 1.14958333333333 , 2.07"
"77","Achara","2011","Nitrites",0.0255,0.005,0.065,"0.005 , 0.0255 , 0.065"
"78","Achara","2011","Organic nitrogen",0,0,0,"0 , 0 , 0"
"79","Achara","2011","Orthophosphate-phosphorus",0.088875,0.027,0.196,"0.027 , 0.088875 , 0.196"
"80","Achara","2011","Total nitrogen",1.5025,0,2.45,"0 , 1.5025 , 2.45"
"81","Achara","2011","Total phosphorus",0.143,0.056,0.285,"0.056 , 0.143 , 0.285"
"82","Achara","2011","Water temperature",14.4583333333333,1,25,"1 , 14.4583333333333 , 25"
"83","Achara","2011","Zinc",8.54166666666667,3,18,"3 , 8.54166666666667 , 18"
"84","Achara","2012","Ammonium",0.141583333333333,0,0.912,"0 , 0.141583333333333 , 0.912"
"85","Achara","2012","Arsenic",0.358333333333333,0,1.6,"0 , 0.358333333333333 , 1.6"
"86","Achara","2012","Biochemical Oxygen",2.21818181818182,1.4,3.6,"1.4 , 2.21818181818182 , 3.6"
"87","Achara","2012","Cadmium",0.25,0.25,0.25,"0.25 , 0.25 , 0.25"
"88","Achara","2012","Calcium",33.975,27,45.5,"27 , 33.975 , 45.5"
"89","Achara","2012","Chemical Oxygen Demand (Cr)",4.95833333333333,0,23,"0 , 4.95833333333333 , 23"
"90","Achara","2012","Chemical Oxygen Demand (Mn)",3.25909090909091,2,7.4,"2 , 3.25909090909091 , 7.4"
"91","Achara","2012","Chlorides",9.41666666666667,5.4,13.8,"5.4 , 9.41666666666667 , 13.8"
"92","Achara","2012","Chromium",0.283333333333333,0,1.9,"0 , 0.283333333333333 , 1.9"
"93","Achara","2012","Copper",2.96666666666667,1.4,6.7,"1.4 , 2.96666666666667 , 6.7"
"94","Achara","2012","Dissolved oxygen",10.2129166666667,7.2,13.8,"7.2 , 10.2129166666667 , 13.8"
"95","Achara","2012","gamma-Hexachlorocyclohexane",0,0,0,"0 , 0 , 0"
"96","Achara","2012","Lead",0.866666666666667,0.5,2.4,"0.5 , 0.866666666666667 , 2.4"
"97","Achara","2012","Magnesium",6.35,2.5,9,"2.5 , 6.35 , 9"
"98","Achara","2012","Mercury",0,0,0,"0 , 0 , 0"
"99","Achara","2012","Nickel",0.141666666666667,0,1.7,"0 , 0.141666666666667 , 1.7"
"100","Achara","2012","Nitrates",0.899166666666667,0.4,1.65,"0.4 , 0.899166666666667 , 1.65"
"101","Achara","2012","Nitrites",0.02625,0.011,0.06,"0.011 , 0.02625 , 0.06"
"102","Achara","2012","Organic nitrogen",0.252916666666667,0,0.55,"0 , 0.252916666666667 , 0.55"
"103","Achara","2012","Orthophosphate-phosphorus",0.0595,0,0.231,"0 , 0.0595 , 0.231"
"104","Achara","2012","Silica (SiO2)",9.45833333333333,4.3,18.3,"4.3 , 9.45833333333333 , 18.3"
"105","Achara","2012","Total nitrogen",1.35075,1,2.43,"1 , 1.35075 , 2.43"
"106","Achara","2012","Total phosphorus",0.124208333333333,0.022,0.445,"0.022 , 0.124208333333333 , 0.445"
"107","Achara","2012","Water temperature",12.875,2,25,"2 , 12.875 , 25"
"108","Achara","2012","Zinc",7.25,5,25,"5 , 7.25 , 25"
"109","Achara","2013","Ammonium",0.0755833333333333,0,0.421,"0 , 0.0755833333333333 , 0.421"
"110","Achara","2013","Arsenic",0.35,0,2.1,"0 , 0.35 , 2.1"
"111","Achara","2013","Atrazine",0,0,0,"0 , 0 , 0"
"112","Achara","2013","Biochemical Oxygen",2.05,1,3.3,"1 , 2.05 , 3.3"
"113","Achara","2013","Cadmium",0,0,0,"0 , 0 , 0"
"114","Achara","2013","Calcium",40.9666666666667,32.1,49.9,"32.1 , 40.9666666666667 , 49.9"
"115","Achara","2013","Chemical Oxygen Demand (Cr)",2.16666666666667,0,14,"0 , 2.16666666666667 , 14"
"116","Achara","2013","Chemical Oxygen Demand (Mn)",2.84166666666667,1.8,3.8,"1.8 , 2.84166666666667 , 3.8"
"117","Achara","2013","Chlorides",11.4833333333333,6.1,15.6,"6.1 , 11.4833333333333 , 15.6"
"118","Achara","2013","Chromium",0,0,0,"0 , 0 , 0"
"119","Achara","2013","Copper",2.9,0,12.6,"0 , 2.9 , 12.6"
"120","Achara","2013","Dissolved oxygen",10.025,7.2,13.4,"7.2 , 10.025 , 13.4"
"121","Achara","2013","gamma-Hexachlorocyclohexane",0,0,0,"0 , 0 , 0"
"122","Achara","2013","Lead",1.225,0.5,7.8,"0.5 , 1.225 , 7.8"
"123","Achara","2013","Magnesium",7.21666666666667,5.3,10,"5.3 , 7.21666666666667 , 10"
"124","Achara","2013","Mercury",0.00590909090909091,0,0.03,"0 , 0.00590909090909091 , 0.03"
"125","Achara","2013","Nickel",0.291666666666667,0,1.8,"0 , 0.291666666666667 , 1.8"
"126","Achara","2013","Nitrates",1.01416666666667,0.45,1.31,"0.45 , 1.01416666666667 , 1.31"
"127","Achara","2013","Nitrites",0.0255,0.003,0.054,"0.003 , 0.0255 , 0.054"
"128","Achara","2013","Orthophosphate-phosphorus",0.0235,0,0.051,"0 , 0.0235 , 0.051"
"129","Achara","2013","p,p-DDT",0,0,0,"0 , 0 , 0"
"130","Achara","2013","Total nitrogen",1.44833333333333,0.52,2.26,"0.52 , 1.44833333333333 , 2.26"
"131","Achara","2013","Total phosphorus",0.0625,0.024,0.114,"0.024 , 0.0625 , 0.114"
"132","Achara","2013","Water temperature",12.9583333333333,3,26,"3 , 12.9583333333333 , 26"
"133","Achara","2013","Zinc",5.83333333333333,5,15,"5 , 5.83333333333333 , 15"
"134","Achara","2014","Ammonium",0.124166666666667,0,0.43,"0 , 0.124166666666667 , 0.43"
"135","Achara","2014","Atrazine",0.01775,0,0.213,"0 , 0.01775 , 0.213"
"136","Achara","2014","Bicarbonates",133.183333333333,85.4,170.8,"85.4 , 133.183333333333 , 170.8"
"137","Achara","2014","Biochemical Oxygen",2.13333333333333,0.5,4,"0.5 , 2.13333333333333 , 4"
"138","Achara","2014","Calcium",41.6083333333333,24.5,54.2,"24.5 , 41.6083333333333 , 54.2"
"139","Achara","2014","Chemical Oxygen Demand (Cr)",8.75,5,16,"5 , 8.75 , 16"
"140","Achara","2014","Chemical Oxygen Demand (Mn)",2.51428571428571,1.3,3.5,"1.3 , 2.51428571428571 , 3.5"
"141","Achara","2014","Chlorides",13.4166666666667,5.8,22.1,"5.8 , 13.4166666666667 , 22.1"
"142","Achara","2014","Dissolved oxygen",10.2833333333333,8.3,15.1,"8.3 , 10.2833333333333 , 15.1"
"143","Achara","2014","Dissolved silicates",2.01666666666667,1,4.8,"1 , 2.01666666666667 , 4.8"
"144","Achara","2014","gamma-Hexachlorocyclohexane",0,0,0,"0 , 0 , 0"
"145","Achara","2014","Magnesium",6.81666666666667,2.2,9.4,"2.2 , 6.81666666666667 , 9.4"
"146","Achara","2014","Manganese",0.025,0,0.07,"0 , 0.025 , 0.07"
"147","Achara","2014","Mercury",0.00891666666666667,0,0.055,"0 , 0.00891666666666667 , 0.055"
"148","Achara","2014","Nitrates",1.3575,0.66,2.63,"0.66 , 1.3575 , 2.63"
"149","Achara","2014","Nitrites",0.02975,0.015,0.07,"0.015 , 0.02975 , 0.07"
"150","Achara","2014","Orthophosphate-phosphorus",0.0230833333333333,0,0.065,"0 , 0.0230833333333333 , 0.065"
"151","Achara","2014","Oxygen saturation",93.6666666666667,77,106,"77 , 93.6666666666667 , 106"
"152","Achara","2014","p,p-DDT",0,0,0,"0 , 0 , 0"
"153","Achara","2014","Potassium",3.43333333333333,2.4,4.2,"2.4 , 3.43333333333333 , 4.2"
"154","Achara","2014","Sodium",12.7833333333333,5.7,19.5,"5.7 , 12.7833333333333 , 19.5"
"155","Achara","2014","Sulphates",32.55,14.9,47,"14.9 , 32.55 , 47"
"156","Achara","2014","Total dissolved salts",201,125,254,"125 , 201 , 254"
"157","Achara","2014","Total hardness",132.983333333333,78.2,161.3,"78.2 , 132.983333333333 , 161.3"
"158","Achara","2014","Total nitrogen",1.8,1.02,2.84,"1.02 , 1.8 , 2.84"
"159","Achara","2014","Total organic carbon",2.615,2.22,3.37,"2.22 , 2.615 , 3.37"
"160","Achara","2014","Total phosphorus",0.049,0.023,0.108,"0.023 , 0.049 , 0.108"
"161","Achara","2014","Water temperature",12.2833333333333,1,22,"1 , 12.2833333333333 , 22"
"162","Achara","2015","Ammonium",0.131583333333333,0,0.35,"0 , 0.131583333333333 , 0.35"
"163","Achara","2015","Atrazine",0,0,0,"0 , 0 , 0"
"164","Achara","2015","Bicarbonates",120.78,109.8,140.3,"109.8 , 120.78 , 140.3"
"165","Achara","2015","Biochemical Oxygen",1.90833333333333,1.1,3.1,"1.1 , 1.90833333333333 , 3.1"
"166","Achara","2015","Cadmium",0,0,0,"0 , 0 , 0"
"167","Achara","2015","Calcium",39.125,32.5,49.8,"32.5 , 39.125 , 49.8"
"168","Achara","2015","Carbonates",140.3,140.3,140.3,"140.3 , 140.3 , 140.3"
"169","Achara","2015","Chemical Oxygen Demand (Cr)",11.5833333333333,5,18,"5 , 11.5833333333333 , 18"
"170","Achara","2015","Chemical Oxygen Demand (Mn)",2.55,2.1,2.8,"2.1 , 2.55 , 2.8"
"171","Achara","2015","Chlorides",11.3583333333333,7.2,19.1,"7.2 , 11.3583333333333 , 19.1"
"172","Achara","2015","Dissolved oxygen",9.675,7.3,13.3,"7.3 , 9.675 , 13.3"
"173","Achara","2015","Dissolved silicates",1.83333333333333,1.1,3.3,"1.1 , 1.83333333333333 , 3.3"
"174","Achara","2015","gamma-Hexachlorocyclohexane",0,0,0,"0 , 0 , 0"
"175","Achara","2015","Inorganic nitrogen",0.15,0.15,0.15,"0.15 , 0.15 , 0.15"
"176","Achara","2015","Lead",1,0.5,2.5,"0.5 , 1 , 2.5"
"177","Achara","2015","Magnesium",5.00833333333333,2.7,8.7,"2.7 , 5.00833333333333 , 8.7"
"178","Achara","2015","Manganese",0.00516666666666667,0,0.031,"0 , 0.00516666666666667 , 0.031"
"179","Achara","2015","Mercury",0.00558333333333333,0,0.067,"0 , 0.00558333333333333 , 0.067"
"180","Achara","2015","Nickel",0,0,0,"0 , 0 , 0"
"181","Achara","2015","Nitrates",1.28166666666667,0.79,1.85,"0.79 , 1.28166666666667 , 1.85"
"182","Achara","2015","Nitrites",0.0455,0.005,0.146,"0.005 , 0.0455 , 0.146"
"183","Achara","2015","Orthophosphate-phosphorus",0.0488333333333333,0.012,0.23,"0.012 , 0.0488333333333333 , 0.23"
"184","Achara","2015","Oxygen saturation",89.8333333333333,76,100,"76 , 89.8333333333333 , 100"
"185","Achara","2015","p,p-DDT",0,0,0,"0 , 0 , 0"
"186","Achara","2015","Petroleum hydrocarbons",0.0133333333333333,0,0.16,"0 , 0.0133333333333333 , 0.16"
"187","Achara","2015","Potassium",3.05,2.1,4,"2.1 , 3.05 , 4"
"188","Achara","2015","Sodium",10.3,6.5,14.8,"6.5 , 10.3 , 14.8"
"189","Achara","2015","Sulphates",27.85,19.7,34.5,"19.7 , 27.85 , 34.5"
"190","Achara","2015","Total hardness",118.316666666667,93.9,160.1,"93.9 , 118.316666666667 , 160.1"
"191","Achara","2015","Total nitrogen",1.5725,0.99,2.16,"0.99 , 1.5725 , 2.16"
"192","Achara","2015","Total organic carbon",2.3825,2.15,2.53,"2.15 , 2.3825 , 2.53"
"193","Achara","2015","Total phosphorus",0.0524545454545455,0.022,0.15,"0.022 , 0.0524545454545455 , 0.15"
"194","Achara","2015","Water temperature",14.2727272727273,3,23,"3 , 14.2727272727273 , 23"
"195","Achara","2015","Zinc",7.5,5,15,"5 , 7.5 , 15"
"196","Achara","2016","Ammonium",0.0885833333333333,0.04,0.16,"0.04 , 0.0885833333333333 , 0.16"
"197","Achara","2016","Anionic active surfactants",0,0,0,"0 , 0 , 0"
"198","Achara","2016","Atrazine",0,0,0,"0 , 0 , 0"
"199","Achara","2016","Bicarbonates",110.116666666667,97.6,122,"97.6 , 110.116666666667 , 122"
"200","Achara","2016","Biochemical Oxygen",1.48333333333333,0.5,2.8,"0.5 , 1.48333333333333 , 2.8"
"201","Achara","2016","Cadmium",0,0,0,"0 , 0 , 0"
"202","Achara","2016","Calcium",31.9083333333333,25.9,37.9,"25.9 , 31.9083333333333 , 37.9"
"203","Achara","2016","Chemical Oxygen Demand (Cr)",10.4166666666667,5,21,"5 , 10.4166666666667 , 21"
"204","Achara","2016","Chemical Oxygen Demand (Mn)",2.57333333333333,1,3.8,"1 , 2.57333333333333 , 3.8"
"205","Achara","2016","Chlorides",9.61666666666667,6.3,11.8,"6.3 , 9.61666666666667 , 11.8"
"206","Achara","2016","Dissolved oxygen",9.86666666666667,7.9,12.6,"7.9 , 9.86666666666667 , 12.6"
"207","Achara","2016","Dissolved silicates",2.08333333333333,1.1,3.7,"1.1 , 2.08333333333333 , 3.7"
"208","Achara","2016","gamma-Hexachlorocyclohexane",0,0,0,"0 , 0 , 0"
"209","Achara","2016","Lead",0,0,0,"0 , 0 , 0"
"210","Achara","2016","Macrozoobenthos",2.37,2.37,2.37,"2.37 , 2.37 , 2.37"
"211","Achara","2016","Magnesium",5.65833333333333,3.9,6.9,"3.9 , 5.65833333333333 , 6.9"
"212","Achara","2016","Mercury",0,0,0,"0 , 0 , 0"
"213","Achara","2016","Nickel",0,0,0,"0 , 0 , 0"
"214","Achara","2016","Nitrates",0.9025,0.39,1.15,"0.39 , 0.9025 , 1.15"
"215","Achara","2016","Nitrites",0.025,0.01,0.042,"0.01 , 0.025 , 0.042"
"216","Achara","2016","Orthophosphate-phosphorus",0.03575,0.011,0.079,"0.011 , 0.03575 , 0.079"
"217","Achara","2016","Oxygen saturation",96.4166666666667,87,125,"87 , 96.4166666666667 , 125"
"218","Achara","2016","p,p-DDT",0,0,0,"0 , 0 , 0"
"219","Achara","2016","Petroleum hydrocarbons",0,0,0,"0 , 0 , 0"
"220","Achara","2016","Potassium",2.46666666666667,2.2,2.6,"2.2 , 2.46666666666667 , 2.6"
"221","Achara","2016","Sodium",8.01666666666667,5.9,9,"5.9 , 8.01666666666667 , 9"
"222","Achara","2016","Sulphates",17.5833333333333,12.7,21.9,"12.7 , 17.5833333333333 , 21.9"
"223","Achara","2016","Total dissolved salts",151.3,108,176,"108 , 151.3 , 176"
"224","Achara","2016","Total hardness",103.008333333333,81.2,117.2,"81.2 , 103.008333333333 , 117.2"
"225","Achara","2016","Total nitrogen",1.17666666666667,0.63,1.67,"0.63 , 1.17666666666667 , 1.67"
"226","Achara","2016","Total phosphorus",0.0721666666666667,0.022,0.24,"0.022 , 0.0721666666666667 , 0.24"
"227","Achara","2016","Water temperature",15.25,5,26,"5 , 15.25 , 26"
"228","Boonsri","1998","Ammonium",0.16952380952381,0.06,0.33,"0.06 , 0.16952380952381 , 0.33"
"229","Boonsri","1998","AOX",0,0,0,"0 , 0 , 0"
"230","Boonsri","1998","Arsenic",0,0,0,"0 , 0 , 0"
"231","Boonsri","1998","Atrazine",0,0,0,"0 , 0 , 0"
"232","Boonsri","1998","Biochemical Oxygen",2.45238095238095,1.5,3.8,"1.5 , 2.45238095238095 , 3.8"
"233","Boonsri","1998","Cadmium",0.192857142857143,0,0.86,"0 , 0.192857142857143 , 0.86"
"234","Boonsri","1998","Calcium",51.8,41,68,"41 , 51.8 , 68"
"235","Boonsri","1998","Cesium",0.0476190476190476,0,1,"0 , 0.0476190476190476 , 1"
"236","Boonsri","1998","Chemical Oxygen Demand (Cr)",5.29047619047619,0,14.7,"0 , 5.29047619047619 , 14.7"
"237","Boonsri","1998","Chemical Oxygen Demand (Mn)",3.91904761904762,2.8,4.9,"2.8 , 3.91904761904762 , 4.9"
"238","Boonsri","1998","Chlorides",20.747619047619,9.2,27.7,"9.2 , 20.747619047619 , 27.7"
"239","Boonsri","1998","Chromium",10.7142857142857,0,28,"0 , 10.7142857142857 , 28"
"240","Boonsri","1998","Copper",13.2380952380952,4,41,"4 , 13.2380952380952 , 41"
"241","Boonsri","1998","Dissolved oxygen",8.57142857142857,6,11.5,"6 , 8.57142857142857 , 11.5"
"242","Boonsri","1998","Fecal coliforms",0,0,0,"0 , 0 , 0"
"243","Boonsri","1998","gamma-Hexachlorocyclohexane",0.0025,0,0.006,"0 , 0.0025 , 0.006"
"244","Boonsri","1998","Iron",1.1052380952381,0.07,4.95,"0.07 , 1.1052380952381 , 4.95"
"245","Boonsri","1998","Lead",4,0,35,"0 , 4 , 35"
"246","Boonsri","1998","Macrozoobenthos",0.395238095238095,0,2.15,"0 , 0.395238095238095 , 2.15"
"247","Boonsri","1998","Magnesium",14.3761904761905,4.8,31.7,"4.8 , 14.3761904761905 , 31.7"
"248","Boonsri","1998","Manganese",0.0209047619047619,0.001,0.12,"0.001 , 0.0209047619047619 , 0.12"
"249","Boonsri","1998","Mercury",0,0,0,"0 , 0 , 0"
"250","Boonsri","1998","Nickel",6.71428571428571,1,32,"1 , 6.71428571428571 , 32"
"251","Boonsri","1998","Nitrates",1.57619047619048,0.89,2.6,"0.89 , 1.57619047619048 , 2.6"
"252","Boonsri","1998","Nitrites",0.0419047619047619,0.01,0.07,"0.01 , 0.0419047619047619 , 0.07"
"253","Boonsri","1998","Orthophosphate-phosphorus",0.0471428571428571,0.02,0.08,"0.02 , 0.0471428571428571 , 0.08"
"254","Boonsri","1998","p,p-DDT",5e-04,0,0.002,"0 , 5e-04 , 0.002"
"255","Boonsri","1998","Potassium",2.99428571428571,2.4,3.7,"2.4 , 2.99428571428571 , 3.7"
"256","Boonsri","1998","Sodium",13.2095238095238,10.2,16.2,"10.2 , 13.2095238095238 , 16.2"
"257","Boonsri","1998","Sulphates",42.3333333333333,10,100,"10 , 42.3333333333333 , 100"
"258","Boonsri","1998","Total coliforms",0.384761904761905,0,2.5,"0 , 0.384761904761905 , 2.5"
"259","Boonsri","1998","Total phosphorus",0.0861904761904762,0.04,0.15,"0.04 , 0.0861904761904762 , 0.15"
"260","Boonsri","1998","Water temperature",13.0238095238095,2,24.5,"2 , 13.0238095238095 , 24.5"
"261","Boonsri","1998","Zinc",23.5714285714286,2,97,"2 , 23.5714285714286 , 97"
"262","Boonsri","1999","Ammonium",0.295161290322581,0.1,0.83,"0.1 , 0.295161290322581 , 0.83"
"263","Boonsri","1999","Bicarbonates",191.755555555556,158.6,225.7,"158.6 , 191.755555555556 , 225.7"
"264","Boonsri","1999","Biochemical Oxygen",4.44354838709677,1.5,7.4,"1.5 , 4.44354838709677 , 7.4"
"265","Boonsri","1999","Cadmium",3.60642857142857,0,23.99,"0 , 3.60642857142857 , 23.99"
"266","Boonsri","1999","Calcium",52.3912903225806,41.8,72.7,"41.8 , 52.3912903225806 , 72.7"
"267","Boonsri","1999","Chemical Oxygen Demand (Cr)",13.6788,9.3,19.8,"9.3 , 13.6788 , 19.8"
"268","Boonsri","1999","Chemical Oxygen Demand (Mn)",5.93806451612903,3,9.52,"3 , 5.93806451612903 , 9.52"
"269","Boonsri","1999","Chlorides",21.6435483870968,14.5,30.17,"14.5 , 21.6435483870968 , 30.17"
"270","Boonsri","1999","Chromium",8.79310344827586,3,22,"3 , 8.79310344827586 , 22"
"271","Boonsri","1999","Copper",18.3448275862069,5,60,"5 , 18.3448275862069 , 60"
"272","Boonsri","1999","Dissolved oxygen",8.89472222222222,6.6,11.1,"6.6 , 8.89472222222222 , 11.1"
"273","Boonsri","1999","Fecal coliforms",0.0603583333333333,0.002,0.21,"0.002 , 0.0603583333333333 , 0.21"
"274","Boonsri","1999","Fecal streptococci ",0.03386,0.002,0.1,"0.002 , 0.03386 , 0.1"
"275","Boonsri","1999","gamma-Hexachlorocyclohexane",0.0206451612903226,0.002,0.08,"0.002 , 0.0206451612903226 , 0.08"
"276","Boonsri","1999","Iron",0.435862068965517,0.18,1.22,"0.18 , 0.435862068965517 , 1.22"
"277","Boonsri","1999","Lead",19.3103448275862,1,63,"1 , 19.3103448275862 , 63"
"278","Boonsri","1999","Macrozoobenthos",1.81055555555556,1.5,2.07,"1.5 , 1.81055555555556 , 2.07"
"279","Boonsri","1999","Magnesium",13.1067741935484,9.6,23.28,"9.6 , 13.1067741935484 , 23.28"
