"","measure","id","value","location","sample.date","Date","ID","prop_growth","moving_average","unit"
"108293","Sodium",1009990,36.4,"Somchair","19-Dec-09",2009-12-19,"Somchair Sodium",0.259515570934256,32.65,"mg/l"
"108302","Sodium",168496,35,"Somchair","18-Nov-01",2001-11-18,"Somchair Sodium",-0.334600760456274,43.8,"mg/l"
"108303","Sodium",1009691,25,"Somchair","28-Aug-09",2009-08-28,"Somchair Sodium",-0.293785310734463,30.2,"mg/l"
"108307","Sodium",806310,50,"Somchair","23-Jun-07",2007-06-23,"Somchair Sodium",-0.342105263157895,63,"mg/l"
"108308","Sodium",1326696,49.7,"Somchair","24-Jan-10",2010-01-24,"Somchair Sodium",0.365384615384616,43.05,"mg/l"
"108317","Sodium",1009632,35.4,"Somchair","26-Jul-09",2009-07-26,"Somchair Sodium",-0.144927536231884,38.4,"mg/l"
"108327","Sodium",2164240,31,"Somchair","24-Mar-13",2013-03-24,"Somchair Sodium",-0.0855457227138643,32.45,"mg/l"
"108335","Sodium",806440,30.2,"Somchair","25-Aug-07",2007-08-25,"Somchair Sodium",-0.396,40.1,"mg/l"
"108350","Sodium",1615932,25.6,"Somchair","30-Jan-11",2011-01-30,"Somchair Sodium",-0.0985915492957746,27,"mg/l"
"108354","Sodium",1616129,29.8,"Somchair","29-Jun-11",2011-06-29,"Somchair Sodium",0.1640625,27.7,"mg/l"
"108356","Sodium",1616255,24.5,"Somchair","23-Sep-11",2011-09-23,"Somchair Sodium",0.237373737373737,22.15,"mg/l"
"108390","Sodium",1326941,28.4,"Somchair","13-Jun-10",2010-06-13,"Somchair Sodium",-0.428571428571429,39.05,"mg/l"
"108407","Sodium",2164158,33.9,"Somchair","16-Feb-13",2013-02-16,"Somchair Sodium",0.395061728395062,29.1,"mg/l"
"108413","Sodium",168471,52.6,"Somchair","23-Sep-01",2001-09-23,"Somchair Sodium",0.0890269151138717,50.45,"mg/l"
"108419","Sodium",806503,70.2,"Somchair","29-Sep-07",2007-09-29,"Somchair Sodium",1.32450331125828,50.2,"mg/l"
"108435","Sodium",1616170,19.8,"Somchair","3-Aug-11",2011-08-03,"Somchair Sodium",-0.335570469798658,24.8,"mg/l"
"108448","Sodium",2164075,24.3,"Somchair","11-Jan-13",2013-01-11,"Somchair Sodium",-0.129032258064516,26.1,"mg/l"
"108489","Sodium",1966302,27.9,"Somchair","8-Dec-12",2012-12-08,"Somchair Sodium",0.430769230769231,23.7,"mg/l"
"108526","Sodium",1966020,19.3,"Somchair","25-Aug-12",2012-08-25,"Somchair Sodium",-0.0981308411214952,20.35,"mg/l"
"108528","Sodium",1966215,19.5,"Somchair","4-Nov-12",2012-11-04,"Somchair Sodium",-0.0845070422535212,20.4,"mg/l"
"108567","Sodium",1966101,21.3,"Somchair","7-Oct-12",2012-10-07,"Somchair Sodium",0.103626943005181,20.3,"mg/l"
"108648","Sodium",1965806,21.4,"Somchair","26-May-12",2012-05-26,"Somchair Sodium",-0.0446428571428571,21.9,"mg/l"
"108655","Sodium",168436,48.3,"Somchair","28-Aug-01",2001-08-28,"Somchair Sodium",0.344654788418708,42.11,"mg/l"
"108706","Sodium",2564883,22.8,"Somchair","2-May-14",2014-05-02,"Somchair Sodium",-0.0952380952380952,24,"mg/l"
"108730","Sodium",1965735,22.4,"Somchair","26-Apr-12",2012-04-26,"Somchair Sodium",-0.238095238095238,25.9,"mg/l"
"108735","Sodium",168366,43.97,"Somchair","21-Jun-01",2001-06-21,"Somchair Sodium",0.0937810945273631,42.085,"mg/l"
"108747","Sodium",2564981,22.5,"Somchair","5-Jun-14",2014-06-05,"Somchair Sodium",-0.0131578947368421,22.65,"mg/l"
"108768","Sodium",1965514,26.3,"Somchair","4-Feb-12",2012-02-04,"Somchair Sodium",0.0734693877551021,25.4,"mg/l"
"108769","Sodium",1965574,29.4,"Somchair","18-Feb-12",2012-02-18,"Somchair Sodium",0.11787072243346,27.85,"mg/l"
"108788","Sodium",2565215,21.2,"Somchair","3-Sep-14",2014-09-03,"Somchair Sodium",-0.0577777777777778,21.85,"mg/l"
"108793","Sodium",3383538,36.8,"Somchair","14-Feb-15",2015-02-14,"Somchair Sodium",0.0222222222222221,36.4,"mg/l"
"108817","Sodium",168403,35.92,"Somchair","28-Jul-01",2001-07-28,"Somchair Sodium",-0.183079372299295,39.945,"mg/l"
"108872","Sodium",2565315,21,"Somchair","10-Oct-14",2014-10-10,"Somchair Sodium",-0.00943396226415091,21.1,"mg/l"
"108937","Sodium",168329,40.2,"Somchair","28-May-01",2001-05-28,"Somchair Sodium",-0.3568,51.35,"mg/l"
"108995","Sodium",3383460,36,"Somchair","16-Jan-15",2015-01-16,"Somchair Sodium",0.714285714285714,28.5,"mg/l"
"109047","Sodium",107087,34,"Somchair","19-Mar-00",2000-03-19,"Somchair Sodium",-0.194312796208531,38.1,"mg/l"
"109177","Sodium",107387,45.8,"Somchair","23-Nov-00",2000-11-23,"Somchair Sodium",0.579310344827586,37.4,"mg/l"
"109178","Sodium",107421,43.2,"Somchair","4-Dec-00",2000-12-04,"Somchair Sodium",-0.0567685589519649,44.5,"mg/l"
"109275","Sodium",6500,46.6,"Somchair","17-Apr-98",1998-04-17,"Somchair Sodium",0,NA,"mg/l"
"109276","Sodium",6541,81.7,"Somchair","29-Jun-98",1998-06-29,"Somchair Sodium",0.753218884120172,64.15,"mg/l"
"109277","Sodium",6582,36.7,"Somchair","24-Aug-98",1998-08-24,"Somchair Sodium",-0.550795593635251,59.2,"mg/l"
"109281","Sodium",48127,32.6,"Somchair","20-Feb-99",1999-02-20,"Somchair Sodium",0.207407407407407,29.8,"mg/l"
"109282","Sodium",48163,54,"Somchair","19-Mar-99",1999-03-19,"Somchair Sodium",0.656441717791411,43.3,"mg/l"
"109283","Sodium",48197,48.7,"Somchair","23-Apr-99",1999-04-23,"Somchair Sodium",-0.0981481481481481,51.35,"mg/l"
"109284","Sodium",48227,56.2,"Somchair","27-May-99",1999-05-27,"Somchair Sodium",0.154004106776181,52.45,"mg/l"
"109286","Sodium",48258,39,"Somchair","22-Jun-99",1999-06-22,"Somchair Sodium",-0.306049822064057,47.6,"mg/l"
"109288","Sodium",48330,52.2,"Somchair","29-Aug-99",1999-08-29,"Somchair Sodium",0.288888888888889,46.35,"mg/l"
"109291","Sodium",107125,48.1,"Somchair","28-Apr-00",2000-04-28,"Somchair Sodium",0.414705882352941,41.05,"mg/l"
"109292","Sodium",107163,59.8,"Somchair","20-May-00",2000-05-20,"Somchair Sodium",0.243243243243243,53.95,"mg/l"
"109293","Sodium",107201,40,"Somchair","27-Jun-00",2000-06-27,"Somchair Sodium",-0.331103678929766,49.9,"mg/l"
"109294","Sodium",107243,21,"Somchair","27-Jul-00",2000-07-27,"Somchair Sodium",-0.475,30.5,"mg/l"
"109295","Sodium",107283,41.1,"Somchair","27-Aug-00",2000-08-27,"Somchair Sodium",0.957142857142857,31.05,"mg/l"
"109296","Sodium",107317,49.8,"Somchair","24-Sep-00",2000-09-24,"Somchair Sodium",0.211678832116788,45.45,"mg/l"
"109302","Sodium",168256,43.4,"Somchair","31-Mar-01",2001-03-31,"Somchair Sodium",-0.117886178861789,46.3,"mg/l"
"109303","Sodium",168293,62.5,"Somchair","29-Apr-01",2001-04-29,"Somchair Sodium",0.440092165898618,52.95,"mg/l"
"109399","Sodium",6622,52,"Somchair","30-Oct-98",1998-10-30,"Somchair Sodium",0.416893732970027,44.35,"mg/l"
"109408","Sodium",48292,40.5,"Somchair","24-Jul-99",1999-07-24,"Somchair Sodium",0.0384615384615385,39.75,"mg/l"
"109418","Sodium",107352,29,"Somchair","17-Oct-00",2000-10-17,"Somchair Sodium",-0.417670682730924,39.4,"mg/l"
"109521","Sodium",6662,58.4,"Somchair","28-Nov-98",1998-11-28,"Somchair Sodium",0.123076923076923,55.2,"mg/l"
"109522","Sodium",6702,48,"Somchair","19-Dec-98",1998-12-19,"Somchair Sodium",-0.178082191780822,53.2,"mg/l"
"109523","Sodium",48090,27,"Somchair","27-Jan-99",1999-01-27,"Somchair Sodium",-0.4375,37.5,"mg/l"
"109532","Sodium",48360,20.4,"Somchair","18-Sep-99",1999-09-18,"Somchair Sodium",-0.609195402298851,36.3,"mg/l"
"109533","Sodium",48391,58.6,"Somchair","21-Oct-99",1999-10-21,"Somchair Sodium",1.87254901960784,39.5,"mg/l"
"109543","Sodium",168187,43.4,"Somchair","17-Jan-01",2001-01-17,"Somchair Sodium",0.00462962962962953,43.3,"mg/l"
"109544","Sodium",168219,49.2,"Somchair","18-Feb-01",2001-02-18,"Somchair Sodium",0.133640552995392,46.3,"mg/l"
"109609","Sodium",3383618,32,"Somchair","15-Mar-15",2015-03-15,"Somchair Sodium",-0.130434782608696,34.4,"mg/l"
"109659","Sodium",107050,42.2,"Somchair","19-Feb-00",2000-02-19,"Somchair Sodium",-0.246428571428571,49.1,"mg/l"
"109777","Sodium",48424,58.8,"Somchair","20-Nov-99",1999-11-20,"Somchair Sodium",0.00341296928327638,58.7,"mg/l"
"109778","Sodium",48458,56.6,"Somchair","10-Dec-99",1999-12-10,"Somchair Sodium",-0.0374149659863945,57.7,"mg/l"
"109779","Sodium",107013,56,"Somchair","15-Jan-00",2000-01-15,"Somchair Sodium",-0.0106007067137809,56.3,"mg/l"
"109853","Sodium",3383694,23,"Somchair","10-Apr-15",2015-04-10,"Somchair Sodium",-0.28125,27.5,"mg/l"
"109854","Sodium",3383773,23.6,"Somchair","10-May-15",2015-05-10,"Somchair Sodium",0.0260869565217392,23.3,"mg/l"
"110017","Sodium",3383857,28,"Somchair","6-Jun-15",2015-06-06,"Somchair Sodium",0.186440677966102,25.8,"mg/l"
